idx,facility_name,facility_type,number_beds,longitude,latitude,address_str,province,phone,website,provider
0,Charlotte County Hospital / Hôpital du Comté de Charlotte,hospital,44,-67.267309,45.194884,"4 Garden Street, St. Stephen, N.B. E3L 2L9",NB,506-465-4444,http://en.horizonnb.ca/home/facilities-and-services/facilities/charlotte-county-hospital.aspx,Province of New Brunswick
1,Dr. Everett Chalmers Regional Hospital / Hôpital régional Dr Everett Chalmers,hospital,314,-66.654111,45.93992,"700 Priestman Street, PO Box 9000, Fredericton, N.B. E3B 5N5",NB,506-452-5400,http://en.horizonnb.ca/home/facilities-and-services/facilities/dr-everett-chalmers-regional-hospital.aspx,Province of New Brunswick
2,Grand Manan Hospital / Hôpital de Grand Manan,hospital,10,-66.747436,44.712085,"196 Route 776, Grand Manan, N.B. E5G 1A3",NB,506-662-4060,http://en.horizonnb.ca/home/facilities-and-services/facilities/grand-manan-hospital.aspx,Province of New Brunswick
3,Hotel-Dieu of St. Joseph / Hôpital Hôtel-Dieu de Saint-Joseph,hospital,22,-67.717228,46.739632,"10 Woodland Hill, Perth-Andover, N.B. E7H 5H5",NB,506-273-7100,http://en.horizonnb.ca/home/facilities-and-services/facilities/hotel-dieu-of-st-joseph.aspx,Province of New Brunswick
4,Miramichi Regional Hospital / Hôpital Régional de Miramichi,hospital,150,-65.469717,47.030405,"500 Water St., Miramichi, N.B. E1V 3G5",NB,506-623-3000,http://en.horizonnb.ca/home/facilities-and-services/facilities/miramichi-regional-hospital.aspx,Province of New Brunswick
5,Oromocto Public Hospital / Hôpital Public d’Oromocto,hospital,45,-66.473685,45.848627,"103 Winnebago Street, Oromocto, N.B. E2V 1C6",NB,506-357-4700,http://en.horizonnb.ca/home/facilities-and-services/facilities/oromocto-public-hospital.aspx,Province of New Brunswick
6,Sackville Memorial Hospital / Hôpital Mémorial de Sackville,hospital,21,-64.373339,45.892303,"8 Main Street, Sackville, N.B. E4L 4A3",NB,506-364-4100,http://en.horizonnb.ca/home/facilities-and-services/facilities/sackville-memorial-hospital.aspx,Province of New Brunswick
7,Saint John Regional Hospital / Hôpital Régional de Saint John,hospital,445,-66.085223,45.301739,"400 University Avenue, Saint John, N.B. E2L 4L2",NB,506-648-6000,http://en.horizonnb.ca/home/facilities-and-services/facilities/saint-john-regional-hospital.aspx,Province of New Brunswick
8,St. Joseph's Hospital / Hôpital St. Joseph,hospital,103,-66.057905,45.279031,"130 Bayard Drive, Saint John, N.B. E2L 3L6",NB,506-632-5555,http://en.horizonnb.ca/home/facilities-and-services/facilities/st-josephs-hospital.aspx,Province of New Brunswick
9,Sussex Health Centre / Centre de Santé de Sussex,hospital,25,-65.490043,45.726658,"75 Leonard Drive, Sussex, N.B. E4E 2P7",NB,506-432-3100,http://en.horizonnb.ca/home/facilities-and-services/facilities/sussex-health-centre.aspx,Province of New Brunswick
10,The Moncton Hospital / L’Hôpital de Moncton,hospital,381,-64.805127,46.105744,"135 MacBeath Avenue, Moncton, N.B. E1C 6Z8",NB,506-857-5111,http://en.horizonnb.ca/home/facilities-and-services/facilities/the-moncton-hospital.aspx,Province of New Brunswick
11,Upper River Valley Hospital / Hôpital du Haut de la Vallée,hospital,52,-67.525036,46.377992,"11300 Route 130, Waterville, Carleton County, N.B. E7P 0A4",NB,506-375-5900,http://en.horizonnb.ca/home/facilities-and-services/facilities/upper-river-valley-hospital.aspx,Province of New Brunswick
