idx,facility_name,facility_type,longitude,latitude,address_str,phone,website,provider
0,Enfant-Jésus RHSJ† Hospital / Hôpital de l’Enfant-Jésus RHSJ†,hospital,-64.949178,47.790958,1 Saint-Pierre Boulevard West Caraquet NB E1W 1B6,506-726-2100,https://www.vitalitenb.ca/en/points-service/enfant-jesus-rhsj-hospital,Province of New Brunswick
1,Lamèque Hospital and Community Health Centre / Hôpital et Centre de Santé Communautaire de Lamèque,hospital,-64.625561,47.80825,"29 De l'Hôpital Street, Lamèque NB",506-344-2261,https://www.vitalitenb.ca/en/points-service/health-centers/health-centers/lameque-hospital-and-community-health-centre,Province of New Brunswick
2,Tracadie Hospital / Hôpital de Tracadie,hospital,-64.912786,47.515751,"400 Des Hospitalières Street P.O. Box 3180, Main Station Tracadie, New Brunswick E1X 1G5",506-394-3000,https://www.vitalitenb.ca/en/points-service/tracadie-hospital,Province of New Brunswick
3,Chaleur Regional Hospital / Hôpital Régional Chaleur,hospital,-65.649681,47.618641,1750 Sunset Drive Bathurst NB E2A 4L7,506-544-3000,https://www.vitalitenb.ca/en/points-service/chaleur-regional-hospital,Province of New Brunswick
4,Dr. Georges-L.-Dumont University Hospital Centre / Centre Hospitalier Universitaire Dr-Georges-L.-Dumont,hospital,-64.80011,46.097995,330 Université Avenue Moncton NB E1C 2Z3,506-862-4000,https://www.vitalitenb.ca/en/points-service/dr-georges-l-dumont-university-hospital-centre,Province of New Brunswick
5,Stella-Maris-de-Kent Hospital / Hôpital Stella-Maris-de-Kent,hospital,-64.77402,46.55191,7714 Route 134 Sainte-Anne-de-Kent NB E4S 1H5,506-743-7800,https://www.vitalitenb.ca/en/points-service/stella-maris-de-kent-hospital,Province of New Brunswick
6,Hôtel-Dieu Saint-Joseph de Saint-Quentin / Hôtel-Dieu Saint-Joseph de Saint-Quentin,hospital,-67.393086,47.509695,21 Canada Street Saint-Quentin NB E8A 2P6,506-235-2300,https://www.vitalitenb.ca/en/points-service/hotel-dieu-saint-joseph-de-saint-quentin,Province of New Brunswick
7,Edmundston Regional Hospital / Hôpital régional d’Edmundston,hospital,-68.328094,47.364409,275 Hébert Boulevard Edmundston NB E3V 4E4,506-739-2200,https://www.vitalitenb.ca/en/points-service/edmundston-regional-hospital,Province of New Brunswick
8,Grand Falls General Hospital / Hôpital Général de Grand-Sault,hospital,-67.73936,47.046312,625 Everard H. Daigle Boulevard Grand Falls NB E3Z 1G5,506-473-7555,https://www.vitalitenb.ca/en/points-service/grand-falls-general-hospital,Province of New Brunswick
9,Campbellton Regional Hospital / Hôpital Régional de Campbellton,hospital,-66.662277,47.99411,189 Lily Lake Road P.O. Box 880 Campbellton NB E3N 3H3,506-789-5000,https://www.vitalitenb.ca/en/points-service/campbellton-regional-hospital,Province of New Brunswick
10,Restigouche Hospital Centre / Centre Hospitalier Restigouche,hospital,-66.664573,47.993443,"63 Gallant Drive, P.O. Box 10 Campbellton NB E3N 3G2",506-760-4000,https://www.vitalitenb.ca/en/points-service/restigouche-hospital-centre,Province of New Brunswick
